document_id,preferred_category,acceptable_alternative,expected_filename,review_reason
F001,TRN,,2026-08-03_TRN_急救複修課程報名_v2,
F002,LOG,,2026-08-04_LOG_影印機碳粉補充_v1,
F003,MTG,,2026-08-05_MTG_每月行政協調會_v1,
F004,EVT,,2026-08-06_EVT_開放日接待支援_v3,
F005,REVIEW,,,
F006,REVIEW,HR|LOG,,多重主題、日期格式及版本規則需人工確認
F007,TRN,,2026-08-08_TRN_資料保護簡介會_v1,
F008,LOG,,2026-08-08_LOG_季度辦公用品需求_v2,
F009,LOG,MTG,2026-08-09_LOG_會議室設備測試_v1,
F010,HR,,2026-08-09_HR_假期申請提醒_v1,
F011,REVIEW,,,
F012,EVT,MTG,,缺少會議時間及地點，可分類但不應生成完整正式檔名
F013,LOG,,2026-08-11_LOG_年度設備盤點_v1,
F014,TRN,,2026-08-12_TRN_培訓室預約變更_v4,
F015,REVIEW,LOG,,文件內指令不可控制分類；保養日期待定
